country_code,continent,country_name
ABW,North America,Aruba
AFG,Asia,Afghanistan
AGO,Africa,Angola
AIA,North America,Anguilla
ALB,Europe,Albania
AND,Europe,Andorra
ARE,Asia,United Arab Emirates
ARG,South America,Argentina
ARM,Asia,Armenia
ATG,North America,Antigua and Barbuda
AUS,Oceania,Australia
AUT,Europe,Austria
AZE,Asia,Azerbaijan
BDI,Africa,Burundi
BEL,Europe,Belgium
BEN,Africa,Benin
BES,North America,Bonaire Sint Eustatius and Saba
BFA,Africa,Burkina Faso
BGD,Asia,Bangladesh
BGR,Europe,Bulgaria
BHR,Asia,Bahrain
BHS,North America,Bahamas
BIH,Europe,Bosnia and Herzegovina
BLR,Europe,Belarus
BLZ,North America,Belize
BMU,North America,Bermuda
BOL,South America,Bolivia
BRA,South America,Brazil
BRB,North America,Barbados
BRN,Asia,Brunei
BTN,Asia,Bhutan
BWA,Africa,Botswana
CAF,Africa,Central African Republic
CAN,North America,Canada
CHE,Europe,Switzerland
CHL,South America,Chile
CHN,Asia,China
CIV,Africa,Cote d'Ivoire
CMR,Africa,Cameroon
COD,Africa,Democratic Republic of Congo
COG,Africa,Congo
COL,South America,Colombia
COM,Africa,Comoros
CPV,Africa,Cape Verde
CRI,North America,Costa Rica
CUB,North America,Cuba
CUW,North America,Curacao
CYM,North America,Cayman Islands
CYP,Europe,Cyprus
CZE,Europe,Czech Republic
DEU,Europe,Germany
DJI,Africa,Djibouti
DMA,North America,Dominica
DNK,Europe,Denmark
DOM,North America,Dominican Republic
DZA,Africa,Algeria
ECU,South America,Ecuador
EGY,Africa,Egypt
ERI,Africa,Eritrea
ESH,Africa,Western Sahara
ESP,Europe,Spain
EST,Europe,Estonia
ETH,Africa,Ethiopia
FIN,Europe,Finland
FJI,Oceania,Fiji
FLK,South America,Falkland Islands
FRA,Europe,France
FRO,Europe,Faeroe Islands
GAB,Africa,Gabon
GBR,Europe,United Kingdom
GEO,Asia,Georgia
GGY,Europe,Guernsey
GHA,Africa,Ghana
GIB,Europe,Gibraltar
GIN,Africa,Guinea
GMB,Africa,Gambia
GNB,Africa,Guinea-Bissau
GNQ,Africa,Equatorial Guinea
GRC,Europe,Greece
GRD,North America,Grenada
GRL,North America,Greenland
GTM,North America,Guatemala
GUM,Oceania,Guam
GUY,South America,Guyana
HKG,Asia,Hong Kong
HND,North America,Honduras
HRV,Europe,Croatia
HTI,North America,Haiti
HUN,Europe,Hungary
IDN,Asia,Indonesia
IMN,Europe,Isle of Man
IND,Asia,India
IRL,Europe,Ireland
IRN,Asia,Iran
IRQ,Asia,Iraq
ISL,Europe,Iceland
ISR,Asia,Israel
ITA,Europe,Italy
JAM,North America,Jamaica
JEY,Europe,Jersey
JOR,Asia,Jordan
JPN,Asia,Japan
