country_code,population,population_density,median_age,aged_65_older,aged_70_older
ABW,106766.0,584.8,41.2,13.085,7.452000000000001
AFG,38928341.0,54.422,18.6,2.5810000000000004,1.337
AGO,32866268.0,23.89,16.8,2.405,1.3619999999999999
AIA,15002.0,,,,
ALB,2877800.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999
AND,77265.0,163.755,,,
ARE,9890400.0,112.44200000000001,34.0,1.1440000000000001,0.526
ARG,45195777.0,16.177,31.9,11.198,7.441
ARM,2963234.0,102.931,35.7,11.232000000000001,7.571000000000001
ATG,97928.0,231.845,32.1,6.933,4.631
AUS,25499881.0,3.202,37.9,15.504000000000001,10.129
AUT,9006400.0,106.749,44.4,19.202,13.748
AZE,10139175.0,119.309,32.4,6.018,3.8710000000000004
BDI,11890781.0,423.06199999999995,17.5,2.562,1.504
BEL,11589616.0,375.564,41.8,18.570999999999998,12.849
BEN,12123198.0,99.11,18.8,3.2439999999999998,1.942
BES,26221.0,,,,
BFA,20903278.0,70.15100000000001,17.6,2.4090000000000003,1.358
BGD,164689383.0,1265.036,27.5,5.098,3.262
BGR,6948445.0,65.18,44.7,20.801,13.272
BHR,1701583.0,1935.9070000000002,32.4,2.372,1.3869999999999998
BHS,393248.0,39.497,34.3,8.996,5.2
BIH,3280815.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999
BLR,9449321.0,46.858000000000004,40.3,14.799000000000001,9.788
BLZ,397621.0,16.426,25.0,3.853,2.279
BMU,62273.0,1308.82,,,
BOL,11673029.0,10.202,25.4,6.704,4.393
BRA,212559409.0,25.04,33.5,8.552,5.06
BRB,287371.0,664.4630000000001,39.8,14.952,9.472999999999999
BRN,437483.0,81.347,32.4,4.591,2.3819999999999997
BTN,771612.0,21.188000000000002,28.6,4.885,2.977
BWA,2351625.0,4.044,25.8,3.9410000000000003,2.242
CAF,4829764.0,7.479,18.3,3.655,2.251
CAN,37742157.0,4.037,41.4,16.984,10.797
CHE,8654618.0,214.243,43.1,18.436,12.644
CHL,19116209.0,24.281999999999996,35.4,11.087,6.938
CHN,1439323774.0,147.674,38.7,10.640999999999998,5.928999999999999
CIV,26378275.0,76.399,18.7,2.9330000000000003,1.5819999999999999
CMR,26545864.0,50.885,18.8,3.165,1.919
COD,89561404.0,35.879,17.0,3.02,1.745
COG,5518092.0,15.405,19.0,3.4019999999999997,2.063
COL,50882884.0,44.223,32.2,7.646,4.312
COM,869595.0,437.352,20.4,2.963,1.726
CPV,555988.0,135.58,25.7,4.46,3.437
CRI,5094114.0,96.079,33.6,9.468,5.694
CUB,11326616.0,110.40799999999999,43.1,14.738,9.719
CUW,164100.0,362.644,41.7,16.367,10.068
CYM,65720.0,256.496,,,
CYP,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999
CZE,10708982.0,137.17600000000002,43.3,19.027,11.58
DEU,83783945.0,237.016,46.6,21.453000000000003,15.957
DJI,988002.0,41.285,25.4,4.213,2.38
DMA,71991.0,98.56700000000001,,,
DNK,5792203.0,136.52,42.3,19.677,12.325
DOM,10847904.0,222.873,27.6,6.981,4.419
DZA,43851043.0,17.348,29.1,6.211,3.8569999999999998
ECU,17643060.0,66.939,28.1,7.104,4.458
EGY,102334403.0,97.999,25.3,5.159,2.891
ERI,3546427.0,44.303999999999995,19.3,3.6069999999999998,2.171
ESH,597330.0,,28.4,,1.38
ESP,46754783.0,93.105,45.5,19.436,13.799000000000001
EST,1326539.0,31.033,42.7,19.452,13.491
ETH,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063
FIN,5540718.0,18.136,42.8,21.228,13.264000000000001
FJI,896444.0,49.562,28.6,6.224,3.284
FLK,3483.0,,,,
FRA,65273512.0,122.57799999999999,42.0,19.718,13.079
FRO,48865.0,35.308,,,
GAB,2225728.0,7.859,23.1,4.45,2.9760000000000004
GBR,67886004.0,272.89799999999997,40.8,18.517,12.527000000000001
GEO,3989175.0,65.032,38.7,14.864,10.244000000000002
GGY,67052.0,,,,
GHA,31072945.0,126.719,21.1,3.385,1.9480000000000002
GIB,33691.0,3457.1,,,
GIN,13132792.0,51.755,19.0,3.135,1.733
GMB,2416664.0,207.56599999999997,17.5,2.339,1.4169999999999998
GNB,1967998.0,66.191,19.4,3.002,1.565
GNQ,1402985.0,45.193999999999996,22.4,2.846,1.7519999999999998
GRC,10423056.0,83.479,45.3,20.396,14.524000000000001
GRD,112519.0,317.132,29.4,7.303999999999999,5.021
GRL,56772.0,0.13699999999999998,,,
GTM,17915567.0,157.834,22.9,4.694,3.016
GUM,168783.0,304.128,31.4,9.551,5.492999999999999
GUY,786559.0,3.952,26.3,5.305,2.8369999999999997
HKG,7496988.0,7039.714,44.8,16.303,10.158
HND,9904608.0,82.805,24.9,4.652,2.883
HRV,4105268.0,73.726,44.0,19.724,13.052999999999999
HTI,11402533.0,398.44800000000004,24.3,4.8,2.9539999999999997
